DPNOM;Población
Antioquia;6951825
Atlántico;2845169
Bogotá, D.C.;7937898
Bolívar;2278770
Boyacá;1324122
Caldas;1051282
Caquetá;430884
Cauca;1590171
Cesar;1414859
Córdoba;1929336
Cundinamarca;3657407
Chocó;615082
Huila;1205318
La Guajira;1073851
Magdalena;1529038
Meta;1160351
Nariño;1719281
Norte de Santander;1717992
Quindio;568560
Risaralda;974639
Santander;2393214
Sucre;1016826
Tolima;1386826
Valle del Cauca;4652512
Arauca;320723
Casanare;481938
Putumayo;393988
Archipiélago de San Andrés;62181
Amazonas;87480
Guainía;59240
Guaviare;103237
Vaupés;49142
Vichada;127467
